 INFO  Accepting connections at http://localhost:8080
 HTTP  12/25/2025 10:13:58 AM ::1 GET /
 HTTP  12/25/2025 10:13:58 AM ::1 Returned 200 in 37 ms
 HTTP  12/25/2025 10:14:06 AM ::1 GET /
 HTTP  12/25/2025 10:14:06 AM ::1 Returned 200 in 2 ms
 HTTP  12/25/2025 10:14:06 AM ::1 GET /static/js/main.4bddb7bf.js
 HTTP  12/25/2025 10:14:06 AM ::1 GET /static/css/main.c972c33e.css
 HTTP  12/25/2025 10:14:06 AM ::1 Returned 200 in 5 ms
 HTTP  12/25/2025 10:14:06 AM ::1 Returned 200 in 9 ms
 HTTP  12/25/2025 10:14:06 AM ::1 GET /favicon.ico
 HTTP  12/25/2025 10:14:06 AM ::1 GET /manifest.json
 HTTP  12/25/2025 10:14:06 AM ::1 Returned 200 in 3 ms
 HTTP  12/25/2025 10:14:06 AM ::1 Returned 200 in 3 ms
 HTTP  12/25/2025 10:14:08 AM ::1 GET /static/js/589.01f989e5.chunk.js
 HTTP  12/25/2025 10:14:08 AM ::1 GET /static/js/266.afb2ab9c.chunk.js
 HTTP  12/25/2025 10:14:08 AM ::1 GET /static/js/591.bbffd521.chunk.js
 HTTP  12/25/2025 10:14:08 AM ::1 GET /static/css/795.62512525.chunk.css
 HTTP  12/25/2025 10:14:08 AM ::1 GET /static/js/470.14df0fbc.chunk.js
 HTTP  12/25/2025 10:14:08 AM ::1 Returned 200 in 5 ms
 HTTP  12/25/2025 10:14:08 AM ::1 GET /static/js/719.95940084.chunk.js
 HTTP  12/25/2025 10:14:08 AM ::1 Returned 200 in 6 ms
 HTTP  12/25/2025 10:14:08 AM ::1 Returned 200 in 9 ms
 HTTP  12/25/2025 10:14:08 AM ::1 Returned 200 in 6 ms
 HTTP  12/25/2025 10:14:08 AM ::1 Returned 200 in 5 ms
 HTTP  12/25/2025 10:14:08 AM ::1 Returned 200 in 5 ms
 HTTP  12/25/2025 10:14:08 AM ::1 GET /static/js/795.fa3ea90d.chunk.js
 HTTP  12/25/2025 10:14:08 AM ::1 Returned 200 in 2 ms
